id,house_value,house_age,household_size,vacant_units,population,income,age_population,postgrads,no_hs,diversity_index,unemployment,employed_technology,dist_landfills,dist_airports,dist_libraries,dist_supermarkets,dist_malls,dist_police,dist_hospitals,dist_universities,dist_schools,dist_parks,dist_coast,latitude,longitude
60014090001,738636,1969,2.13,31,788,55269,37,10.41,37.18,87.1,2.42,0,2.97,4.31,0.49,7.25,3.57,2.52,5.52,5.87,0.75,0.2,3.26,37.74,-122.19
60952524012,622363,1973,2.08,32,1157,144102,34,1.04,15.13,86.2,2.5,1.58,9.38,14.33,0.84,1.92,1.39,1.21,1.85,7.75,0.43,0.3,27.16,38.25,-122.05
60952527042,713889,1983,3.16,34,1302,151236,34.4,0,3.61,90,0,1.71,5.72,9.74,0.54,4.68,4.6,2.98,3.97,12.28,0.46,0.39,30.04,38.25,-122.01
60952532051,361111,1976,2.94,5,1429,30731,39.9,2.73,0.63,71.8,2.19,0.81,15.6,17.72,3.78,19.07,2.31,5.24,3.87,2.19,1.17,0.38,42.51,38.38,-121.97
60952529133,647109,1972,2.97,89,1303,61776,38.3,2.07,0,82.3,1.23,0.36,7.1,9.36,4.89,13.14,5.51,5.39,7.82,6.69,0.55,0.23,38.57,38.32,-121.96
60952534032,1204506,1995,3.17,19,2947,200001,50.1,6.55,2.24,76.5,16.75,0,18.09,26.95,2.03,17.51,16.92,1.71,13.38,14.81,1.19,0.75,55.27,38.44,-121.84
60952523102,611041,1994,2.03,25,1521,110297,52.7,22.16,0,74.8,9.59,0,14.98,19.15,8.54,6.88,6.31,8.74,7.52,9.83,3.22,3.98,28.75,38.3,-122.09
60952526113,441958,1975,1.44,45,661,47482,31.3,10.44,6.35,87.9,4.93,0,5.55,9.31,1.98,4.64,4.75,3.91,4,12.97,0.54,0.24,31.1,38.26,-122.01
60952523171,1393192,1968,2.79,11,1208,200001,40.6,33.69,1.08,82.5,6.74,3.61,5.4,9.28,7.64,8.45,4.79,6.88,6.1,10.37,3.75,1.42,34.9,38.3,-121.99
60952526111,855500,1986,3.39,24,2360,109292,33.7,0.59,2.25,89.5,13.26,1.41,5.52,9.39,2.45,4.59,4.75,4.14,3.98,13.06,0.28,0.05,31.27,38.27,-122.01
60014090003,833333,1965,4.38,61,2428,71231,36.4,2.72,8.03,85.8,8.28,0,2.05,3.4,2.05,5.42,3.91,1.85,5.99,4.79,1.55,0.04,2.91,37.74,-122.21
60014091001,1158824,1977,3.03,13,1274,103871,32.1,4.16,6.04,84.6,1.92,7,3.38,4.71,1,8.47,2.51,2.65,4.31,6.67,0.35,0.28,2.97,37.73,-122.18
60014091002,852273,1978,3.03,22,1598,152125,33.8,0,5.38,84.2,1.38,0.7,3.05,4.33,0.86,8.27,2.33,2.72,4.25,6.9,0.63,0.45,2.68,37.73,-122.18
60014231001,1353211,1987,3.1,11,1808,200001,39,18.92,3.71,80.4,5.03,9.63,16.71,21.98,0.5,1.57,1.67,1.53,3.72,1.89,0.23,0,1.78,37.87,-122.29
60014231003,586111,1984,2.44,40,1481,66045,40.6,17.35,0.95,74.3,2.72,13.17,16.95,21.42,0.92,1.75,1.92,1.65,3.41,1.95,0.75,0.26,1.74,37.86,-122.29
60014231004,1370763,1940,2.35,31,1161,138363,41,20.07,0.69,76,4.24,6.54,16.71,21.17,1.15,1.88,2.08,1.76,3.29,2,0.93,0.43,1.73,37.86,-122.29
60014232001,1394841,1948,2.32,52,1400,61801,36.6,31.29,3.07,88.6,0,17.01,16.81,22.02,0.56,2.43,0.99,2.39,4.36,2.65,0.16,0.15,1.1,37.87,-122.29
60014232002,1197279,1947,2.45,53,1162,182242,35.9,17.3,4.48,84.8,3.05,3.4,17.15,21.47,1.03,2.56,1.43,2.48,4.11,2.11,0.45,0.46,1.08,37.86,-122.29
60190058045,1591346,1944,2.38,24,888,177400,33.8,0,16.1,88.5,2.81,5.21,17.67,3.59,6.1,10.58,3.68,6.09,8.58,4.13,1.36,0.07,184.1,36.78,-119.69
60190078011,1281690,1951,2.59,48,1480,161149,31.6,0,12.09,51.4,3.17,0,27.08,79.46,1.08,96.85,31.66,1.36,28.6,29.63,0.87,0.43,111.65,36.2,-120.09
60133362023,1373016,1940,2.31,30,1252,152095,31,13.02,9.35,85.5,9.45,0,5.83,4.85,2.29,3.43,2.24,2.05,3.65,2.14,0.77,0.53,21.78,37.96,-122.04
60670084031,1085366,1971,2.19,34,926,103635,34.2,26.03,1.94,69.4,1.98,14.95,13.8,48.84,2.15,0.96,0.93,2.55,1.1,2.99,1.48,0.37,117.52,38.67,-121.16
60670084032,1746032,1939,2.53,46,1169,200001,41.5,22.41,1.88,69,0,16.97,12.31,47.36,1.42,1.76,1.11,2.69,2.6,4.44,1.59,0.32,116.41,38.66,-121.17
60670084033,1773810,1973,2.16,33,907,171107,39.7,30.76,2.65,67.7,6.24,6.88,12.26,46.81,0.67,1.82,0.93,2.16,2.93,5.04,0.77,0.09,116.42,38.67,-121.17
60670084041,461628,1966,1.84,20,919,42953,48.8,14.91,0,54.6,4.8,5.64,13.42,46.86,0.37,2.02,1.62,0.83,3.18,5.54,0.8,0,117.32,38.68,-121.17
60670084042,594613,1946,2.25,40,1341,111363,45.4,7.08,0,52.1,9.43,2.08,11.71,45.57,1.34,2.95,2.11,2.49,4.15,6.36,1.13,0.21,115.98,38.67,-121.18
60670094062,867733,1942,2.4,26,1471,162556,42.9,7.95,3.67,75.9,22.44,1.99,20.37,55.31,11.17,29.56,22.8,11.53,24.73,34.08,4.38,3.38,95.37,38.28,-121.21
60670095031,618132,1946,1.73,44,960,101291,34.5,7.08,14.17,81.9,10.89,0.35,17.14,52.07,1.64,24.6,17.25,0.75,19.48,28.68,0.79,0.52,86.19,38.26,-121.31
60670099001,670290,1942,2.32,20,597,107570,36.8,17.59,4.19,84.1,2.3,3.38,20.49,44.08,5.92,19.98,20.23,23,26.92,16.42,5.77,3.73,68.57,38.3,-121.53
60590626332,498649,1952,2.42,20,1056,116510,41.8,50.57,1.89,66.5,3.73,10.35,16.54,18.83,2.38,1.88,1.41,2.57,3.19,4.05,0.89,0.45,6.49,33.59,-117.74
60590626402,577885,1956,1.97,29,1438,69166,43,16.34,1.25,66.9,3.08,0.29,14.01,21.55,0.42,1.31,0.53,0.46,0.74,2.12,0.8,0.48,6.28,33.57,-117.72
60590626481,597534,1946,1.96,14,998,107557,75.5,18.44,1.5,53.5,22.38,0,14.61,17.29,1.03,3.29,0.78,2.29,2.63,7.07,1.25,0.87,9.41,33.61,-117.73
60133383012,454294,1978,3.7,26,2216,60026,53,14.85,0.27,57.9,2.45,5.21,11.26,10.45,1.62,2.42,1.2,4.66,1.9,5.29,0.68,0.86,25.06,37.92,-122.03
60133060022,624088,1958,1.91,35,1312,52259,37.7,8.54,13.19,88.3,9.87,0,14.67,32.81,5.53,6.98,3.77,2.04,5.79,6.23,2.81,0.72,43.56,38.01,-121.77
60133650023,1022500,1977,2.15,43,1523,93724,34.1,1.58,25.34,78.9,5.62,0.09,7.27,36.2,4.16,11.34,1.9,4.42,17.48,4.86,1.96,1.22,1.04,37.96,-122.38
60133040021,411111,1984,2.93,21,2144,117866,40.3,5.18,1.68,82.3,4.54,11.48,17.76,42.82,12.89,21.85,15.24,12.7,22.92,27.54,5.13,6.48,51.9,37.85,-121.62
60133132042,656061,1965,3.18,21,1575,120622,45,8.06,8.57,86.3,1.01,2.37,2.72,14.66,5.77,13.24,4.06,5.85,12.07,7.61,3.86,1.11,29.99,37.99,-121.93
60133451131,1691989,1985,1.95,60,1551,80737,45.9,31.46,0,64.9,1.13,16.63,16.43,30.35,3.89,4.2,3.02,5.61,2.45,6.34,1.09,0.64,23.22,37.79,-121.94
60133090001,878856,1968,2.51,27,2158,150000,44.7,5.61,2.64,87.3,13.43,1.81,6.03,19.44,3.09,19.65,5.16,2.91,13.06,6.08,1.84,0.35,31.73,38.04,-121.89
60014233001,1444940,1974,2.73,16,2440,200001,40.3,10.78,1.07,78,9.6,9.31,16.41,20.86,1.45,2.05,2.02,1.91,3.15,1.96,0.71,0.34,1.73,37.86,-122.29
60014233002,1979620,1967,2.67,42,1798,200001,39.8,16.3,1.84,79.3,4.37,5.3,16.1,20.54,1.47,2.22,1.74,2.06,2.99,1.92,0.54,0.1,1.77,37.86,-122.28
60014233003,1650517,1977,2.88,17,2621,200001,39.8,7.63,0,79.6,10.08,9.34,15.75,20.14,1.55,2.68,1.61,2.51,3.07,1.57,0.81,0.01,1.62,37.85,-122.28
60014234002,2000001,1985,2.53,44,2596,200001,35.9,16.53,0,74.4,0,13.41,15.9,20.51,0.78,1.65,1.38,1.45,2.19,1.02,0.4,0.38,2.48,37.86,-122.28
60014234003,1419456,1973,2.53,79,2627,175921,35.9,16.83,1.22,80.1,8.64,8.7,15.6,20.2,0.58,1.95,1.08,1.76,2.08,1.14,0.37,0.27,2.46,37.86,-122.28
